nomeStazione,longitudine,latitudine
ASP - AGRIGENTO,13.593963,37.307047
ASP Pizzuta - SIRACUSA,15.268014,37.085751
Augusta - AUGUSTA,15.2205,37.2184
Belgio - PALERMO,13.331559,38.1517
Belvedere - SIRACUSA,15.208712,37.093973
Biviere - GELA,14.344965,37.022486
Boccadifalco - PALERMO,13.302198,38.120539
Boccetta - MESSINA,15.552935,38.198256
Caltanissetta - CALTANISSETTA,14.05111,37.489848
Campo Atletica - RAGUSA,14.734022,36.917119
Capo Soprano - GELA,14.223844,37.075693
Castelnuovo - PALERMO,13.354215,38.124382
Centro - AGRIGENTO,13.589904,37.306413
Contrada Marcellino - AUGUSTA,15.169058,37.221026
Di Blasi - PALERMO,13.329306,38.121681
Diga Rubino - SALEMI,12.71802,37.882476
Enimed - GELA,14.284218,37.062217
Enna - ENNA,14.281463,37.564125
Ex Autoparco - GELA,14.297144,37.055867
Indipendenza - PALERMO,13.350252,38.111034
Megara - AUGUSTA,15.1829,37.1946
Monserrato - AGRIGENTO,13.551601,37.29924
Ospedale Garibaldi - CATANIA,15.075233,37.511594
Pantheon - SIRACUSA,15.285331,37.067768
Parcheggio AGIP - AUGUSTA,14.26508,37.05961
Parco Gioieni - CATANIA,15.081122,37.529257
Partinico - PARTINICO,13.11859,38.050162
Pontile - GELA,14.243884,37.065106
Teracati - SIRACUSA,15.278581,37.075831
Termini Imerese - TERMINI IMERESE,13.687987,37.977911
Trapani - TRAPANI,12.546894,38.012365
Tribunale - GELA,14.261254,37.065105
UNIPA - PALERMO,13.34653,38.105096
Verga - SIRACUSA,15.285297,37.091295
Via Gela - SIRACUSA,15.262506,37.098447
Via Venezia - GELA,14.253618,37.070349
Viale Vittorio Veneto - CATANIA,15.097211,37.515808
Villa Archiemede - RAGUSA,14.714509,36.926331
Villa Augusta - AUGUSTA,15.095059,37.28293
Villa Dante - MESSINA,15.546512,38.174341
